Disease	lung cancer	Rank_lung cancer
HG01979	1.2638	0.0228
HG01980	3.2117	0.595
HG01982	2.4191	0.3215
HG01985	5.8685	0.9445
HG01986	6.0141	0.9541
HG01988	4.1326	0.7732
HG01989	2.3434	0.2967
HG01990	2.9889	0.522
HG01991	5.5317	0.9253
HG01992	2.736	0.4373
HG01997	2.665	0.4101
HG02002	2.5628	0.3734
HG02003	3.0836	0.5527
HG02006	6.2096	0.9605
HG02008	2.1874	0.244
HG02009	1.763	0.1234
HG02010	3.1976	0.5899
HG02012	3.4917	0.6542
HG02013	3.7822	0.7137
HG02014	4.7617	0.857
HG02016	2.2091	0.252
HG02017	2.669	0.4113
HG02019	3.1494	0.5727
HG02020	3.9598	0.7448
HG02023	2.6274	0.3978
HG02025	3.7693	0.7089
HG02026	3.8393	0.7256
HG02028	3.8141	0.7204
HG02029	4.3219	0.8027
HG02031	2.5883	0.383
HG02032	1.9319	0.1645
HG02035	3.2897	0.6222
HG02040	4.6576	0.8486
HG02047	2.3965	0.3127
HG02048	2.1887	0.2448
HG02049	2.6214	0.3958
HG02050	1.6668	0.0931
HG02051	5.3995	0.9141
HG02052	4.1144	0.7712
HG02053	6.2196	0.9613
HG02054	4.2152	0.7875
HG02057	2.199	0.2492
HG02058	1.5689	0.0683
HG02060	2.018	0.1909
HG02061	2.3591	0.2995
HG02064	4.9704	0.8786
HG02067	1.7449	0.1198
HG02069	1.7088	0.1054
HG02070	1.0827	0.0068
HG02072	2.8502	0.4812
HG02073	2.9823	0.52
HG02075	3.5912	0.6757
HG02076	2.2144	0.2556
HG02078	2.4174	0.3207
HG02079	2.7426	0.4393
HG02081	2.9734	0.5156
HG02082	2.5267	0.3562
HG02084	1.273	0.0256
HG02085	2.3681	0.3051
HG02086	1.5333	0.0635
HG02087	8.2252	0.9932
HG02088	0.9322	0.0028
HG02089	4.0939	0.7676
HG02090	3.5106	0.6577
HG02095	3.6433	0.6853
HG02102	2.7882	0.4597
HG02104	2.579	0.3786
HG02105	1.9605	0.1681
HG02107	3.1576	0.5763
HG02108	2.7221	0.4329
HG02111	8.8587	0.9956
HG02113	0.8309	0.0024
HG02116	2.0198	0.1921
HG02121	2.2439	0.2656
HG02122	3.1544	0.5747
HG02127	2.5068	0.3494
HG02128	3.1293	0.5675
HG02130	3.3501	0.6298
HG02131	2.1483	0.2276
HG02133	2.5669	0.3754
HG02134	2.5666	0.375
HG02136	2.2439	0.2656
HG02137	3.535	0.6637
HG02138	2.0462	0.2009
HG02139	1.1123	0.0076
HG02140	3.2743	0.615
HG02141	2.2158	0.258
HG02142	2.0111	0.1861
HG02143	2.1351	0.222
HG02144	4.3249	0.8039
HG02146	3.1271	0.5667
HG02147	2.2127	0.2552
HG02150	2.5924	0.385
HG02151	1.8458	0.1394
HG02152	4.1812	0.7835
HG02153	2.7643	0.4473
HG02154	1.3634	0.0399
HG02155	1.9913	0.1777
HG02156	2.644	0.4046
HG02164	2.644	0.4046
HG02165	1.5789	0.0699
HG02166	1.5914	0.0735
HG02178	5.5019	0.9229
HG02179	3.0532	0.5431
HG02180	3.2107	0.5946
HG02181	3.2521	0.609
HG02182	2.87	0.4848
HG02184	3.2265	0.6018
HG02185	1.9909	0.1773
HG02186	4.3249	0.8039
HG02187	1.2005	0.0152
HG02188	1.2369	0.0196
HG02190	1.676	0.095
HG02215	2.4104	0.3179
HG02219	2.7924	0.4601
HG02220	1.6628	0.0927
HG02221	1.9711	0.1697
HG02223	2.9961	0.524
HG02224	2.8651	0.484
HG02230	2.3259	0.2903
HG02231	3.9032	0.736
HG02232	4.673	0.8506
HG02233	1.8647	0.1486
HG02235	4.4925	0.8259
HG02236	3.009	0.528
HG02238	2.3259	0.2903
HG02239	1.7088	0.1054
HG02250	3.3967	0.6334
HG02252	3.2547	0.611
HG02253	2.9177	0.5008
HG02255	2.9323	0.5044
HG02256	1.9757	0.1709
HG02259	3.162	0.5771
HG02260	2.9379	0.5068
HG02262	1.5267	0.0623
HG02265	1.9016	0.1589
HG02266	1.8912	0.1558
HG02271	3.6139	0.6801
HG02272	2.2778	0.2728
HG02274	2.9271	0.5028
HG02275	2.6151	0.3934
HG02277	3.4216	0.639
HG02278	2.3027	0.2823
HG02281	5.2867	0.9081
HG02282	4.9973	0.881
HG02283	3.3511	0.6302
HG02284	5.9026	0.9465
HG02285	2.6031	0.389
HG02286	3.091	0.5551
HG02291	2.4378	0.3287
HG02292	5.1202	0.8946
HG02298	1.8953	0.1569
HG02299	2.5452	0.3654
HG02301	3.847	0.728
HG02304	1.4859	0.0563
HG02307	3.7897	0.7149
HG02308	6.0141	0.9541
HG02309	6.008	0.9537
HG02312	2.8275	0.4744
HG02314	6.4385	0.9673
HG02315	3.6158	0.6805
HG02317	3.5325	0.6633
HG02318	3.9972	0.75
HG02322	5.0602	0.8882
HG02323	2.724	0.4337
HG02325	4.0487	0.7588
HG02330	1.6418	0.0899
HG02332	4.776	0.8606
HG02334	2.8154	0.4696
HG02337	1.9717	0.1705
HG02339	5.9584	0.9501
HG02343	4.3934	0.8119
HG02345	1.8735	0.1518
HG02348	4.736	0.8554
HG02351	2.4346	0.3255
HG02353	3.012	0.5292
HG02355	2.4339	0.3247
HG02356	1.9913	0.1777
HG02360	2.4148	0.3187
HG02364	5.5873	0.9297
HG02367	2.0383	0.1977
HG02371	2.325	0.2891
HG02373	3.0435	0.5379
HG02374	1.7602	0.123
HG02375	2.2151	0.2572
HG02379	2.3833	0.3103
HG02380	1.2462	0.0204
HG02382	2.504	0.3482
HG02383	1.7794	0.1254
HG02384	5.2941	0.9085
HG02385	4.8734	0.8702
HG02386	2.2333	0.2628
HG02389	2.2972	0.2804
HG02390	3.437	0.6434
HG02391	2.6274	0.3978
HG02392	2.1332	0.2212
HG02394	2.7665	0.4505
HG02395	1.8799	0.1534
HG02396	6.1651	0.9597
HG02397	2.6377	0.403
HG02398	2.7779	0.4525
HG02399	2.3427	0.2951
HG02401	1.5939	0.0771
HG02402	6.2633	0.9621
HG02406	3.7773	0.7109
HG02407	5.492	0.9213
HG02408	1.9104	0.1609
HG02409	3.9622	0.7452
HG02410	3.3178	0.6258
HG02419	4.6917	0.8514
HG02420	4.4061	0.8151
HG02425	2.1361	0.2224
HG02427	3.182	0.5835
HG02429	7.1973	0.9808
HG02433	4.9789	0.8794
